"Kraj","PKB","Populacja kraju","Emisja CH4","Emisja N2O","Emisja CO2 Cement","Emisja CO2 Węgiel","Emisja CO2 Gaz","Emisja CO2 Ropa","Emisja CO2 Spalanie","Emisja CO2 Pozostałe","Emisja CO2 Razem","Udział globalny w emisji CO2 Cement","Udział globalny w emisji CO2 Węgiel","Udział globalny w emisji CO2 Gaz","Udział globalny w emisji CO2 Ropa","Udział globalny w emisji CO2 Spalanie","Udział globalny w emisji CO2 Razem"
"Afghanistan",67594969088.0,37171920,15.91,4.69,0.057,3.849,0.293,4.146,0.0,0.0,8.345,0.0,0.03,0.0,0.03,0.0,0.02
"Albania",34009112576.0,2882735,3.01,1.08,0.78,0.473,0.15,3.331,0.0,0.0,4.734,0.05,0.0,0.0,0.03,0.0,0.01
"Algeria",590317551616.0,42228416,94.4,12.51,10.749,1.33,88.887,54.922,5.598,0.0009999999999763531,161.487,0.69,0.01,1.19,0.45,1.36,0.44
"Angola",175929573376.0,30809788,38.44,21.67,1.937,0.0,1.608,12.963,7.867,0.0010000000000012221,24.376,0.12,0.0,0.02,0.11,1.91,0.07
"Argentina",829373284352.0,44361148,127.61,48.28,4.378,4.356,96.125,74.394,1.847,0.0,181.1,0.28,0.03,1.29,0.61,0.45,0.49
"Armenia",33296515072.0,2951741,2.35,1.17,0.315,0.004,4.679,0.828,0.0,0.0,5.826,0.02,0.0,0.06,0.01,0.0,0.02
"Australia",1238559621120.0,24898152,141.41,77.69,2.946,169.64,79.77,142.785,16.954,3.905999999999949,416.001,0.19,1.15,1.07,1.17,4.11,1.14
"Austria",382269456384.0,8891383,7.04,3.83,1.827,12.292,17.011,34.105,0.127,1.203000000000003,66.565,0.12,0.08,0.23,0.28,0.03,0.18
"Azerbaijan",160426229760.0,9949537,14.22,4.27,1.083,0.004,21.284,11.809,2.667,7.105427357601002e-15,36.847,0.07,0.0,0.29,0.1,0.65,0.1
"Bangladesh",686521778176.0,161376720,92.07,29.35,1.461,8.178,53.377,19.584,0.0,0.0,82.6,0.09,0.06,0.72,0.16,0.0,0.23
"Belarus",178435260416.0,9452615,17.05,12.18,1.839,3.366,36.751,17.972,0.002,1.0320000000000036,60.962,0.12,0.02,0.49,0.15,0.0,0.17
"Belgium",454384320512.0,11482180,8.19,4.59,2.534,13.367,36.179,45.986,0.121,2.0400000000000063,100.227,0.16,0.09,0.49,0.38,0.03,0.27
"Bolivia",75704713216.0,11353140,28.81,9.82,1.439,0.022,9.349,12.892,0.154,3.552713678800501e-15,23.856,0.09,0.0,0.13,0.11,0.04,0.07
"Bosnia and Herzegovina",41286324224.0,3323929,3.7,1.28,0.381,16.601,0.454,4.639,0.0,0.0,22.075,0.02,0.11,0.01,0.04,0.0,0.06
"Brazil",2965401501696.0,209469312,426.39,180.39,20.64,65.828,67.417,305.903,17.505,6.391999999999996,483.685,1.32,0.45,0.9,2.51,4.25,1.32
"Bulgaria",132183449600.0,7051610,6.96,4.13,1.224,22.089,5.781,12.577,0.711,1.2560000000000002,43.638,0.08,0.15,0.08,0.1,0.17,0.12
"Canada",1669401542656.0,37074560,103.28,44.44,6.98,60.253,226.647,267.812,15.645,2.133000000000038,579.47,0.45,0.41,3.04,2.2,3.8,1.58
"Chile",412833611776.0,18729166,11.43,6.61,0.782,27.049,9.981,46.568,0.029,1.4210854715202004e-14,84.409,0.05,0.18,0.13,0.38,0.01,0.23
"China",18151620214784.0,1427647744,1159.28,545.19,786.745,7316.4,519.834,1495.473,0.0,171.53700000000026,10289.989,50.22,49.71,6.97,12.27,0.0,28.08
"Colombia",651900551168.0,49661056,74.5,23.07,5.306,13.235,23.447,41.933,0.96,1.4210854715202004e-14,84.881,0.34,0.09,0.31,0.34,0.23,0.23
"Croatia",84978688000.0,4156407,3.67,1.74,1.211,1.449,5.042,9.589,0.255,0.15200000000000102,17.698,0.08,0.01,0.07,0.08,0.06,0.05
"Cuba",92551012352.0,11338146,11.45,3.55,0.716,0.015,1.861,20.016,0.0,0.0010000000000012221,22.609,0.05,0.0,0.02,0.16,0.0,0.06
"Cyprus",27790155776.0,1189262,0.74,0.36,0.848,0.054,0.0,6.418,0.0,0.019999999999999574,7.34,0.05,0.0,0.0,0.05,0.0,0.02
"Czechia",326100320256.0,10665679,12.41,5.14,1.868,64.035,16.641,22.12,0.104,1.3640000000000185,106.132,0.12,0.44,0.22,0.18,0.03,0.29
"Denmark",268317622272.0,5752131,7.95,4.88,1.16,6.359,6.476,20.042,0.232,0.4029999999999987,34.672,0.07,0.04,0.09,0.16,0.06,0.09
"Ecuador",175524675584.0,17084360,26.55,5.14,2.287,0.0,1.403,32.983,1.246,0.0,37.919,0.15,0.0,0.02,0.27,0.3,0.1
"Egypt",1221832605696.0,98423600,70.55,22.59,21.002,1.085,102.698,102.936,0.0,0.0,227.721,1.34,0.01,1.38,0.84,0.0,0.62
"Estonia",35409424384.0,1322913,1.11,1.39,0.298,13.088,0.987,3.487,0.0,0.0850000000000044,17.945,0.02,0.09,0.01,0.03,0.0,0.05
"Finland",214535733248.0,5522585,4.75,4.94,0.602,17.913,4.42,22.155,0.091,0.6679999999999993,45.849,0.04,0.12,0.06,0.18,0.02,0.13
"France",2581673803776.0,64990512,60.56,38.12,6.496,34.867,84.468,189.587,2.906,4.048000000000002,322.372,0.41,0.24,1.13,1.56,0.7,0.88
"Gabon",36693262336.0,2119275,5.4,0.6,0.19,0.0,0.879,2.063,1.627,0.0,4.759,0.01,0.0,0.01,0.02,0.39,0.01
"Georgia",58984800256.0,4002946,5.27,2.17,0.798,1.206,4.681,3.42,0.0,1.7763568394002505e-15,10.105,0.05,0.01,0.06,0.03,0.0,0.03
"Germany",3885961314304.0,83124416,49.85,33.12,13.228,295.66,169.549,264.941,2.008,8.725999999999885,754.112,0.84,2.01,2.27,2.17,0.49,2.06
"Greece",250035847168.0,10522244,9.37,4.33,3.419,24.896,9.072,33.821,0.011,0.5890000000000128,71.808,0.22,0.17,0.12,0.28,0.0,0.2
"Hungary",250426490880.0,9707502,7.06,5.93,0.882,9.437,19.805,18.555,0.147,0.5820000000000078,49.408,0.06,0.06,0.27,0.15,0.04,0.13
"Iceland",15315260416.0,336712,0.54,0.38,0.0,0.715,0.0,2.788,0.156,0.0040000000000000036,3.663,0.0,0.0,0.0,0.02,0.04,0.01
"India",8835757506560.0,1352642304,657.15,265.59,138.965,1677.771,126.201,655.19,1.678,0.0009999999997489795,2599.806,8.87,11.4,1.69,5.37,0.41,7.09
"Indonesia",3075456106496.0,267670560,327.29,98.37,34.828,262.222,84.147,222.595,11.091,0.00100000000009004,614.884,2.22,1.78,1.13,1.83,2.69,1.68
"Iran",1398995943424.0,81800200,239.79,36.59,19.091,4.921,409.099,213.821,60.225,0.0,707.157,1.22,0.03,5.49,1.75,14.61,1.93
"Iraq",513592688640.0,38433604,130.22,4.78,3.493,0.0,30.488,145.028,32.316,0.0010000000000047748,211.326,0.22,0.0,0.41,1.19,7.84,0.58
"Ireland",314321666048.0,4818694,15.43,9.51,1.916,6.473,10.599,19.568,0.0,0.6390000000000029,39.195,0.12,0.04,0.14,0.16,0.0,0.11
"Israel",278806233088.0,8381507,9.6,2.65,1.775,18.129,18.075,22.567,0.0,0.0,60.546,0.11,0.12,0.24,0.19,0.0,0.17
"Italy",2077209133056.0,60627288,44.59,15.39,7.757,39.424,143.665,152.699,2.295,3.17999999999995,349.02,0.5,0.27,1.93,1.25,0.56,0.95
"Japan",4867010592768.0,127202184,27.93,18.81,26.183,441.8,233.969,432.718,0.414,8.374000000000024,1143.458,1.67,3.0,3.14,3.55,0.1,3.12
"Kazakhstan",463720546304.0,18319616,49.51,11.0,3.891,175.205,68.982,49.54,16.682,2.9799999999999613,317.28,0.25,1.19,0.92,0.41,4.05,0.87
"Kuwait",277117140992.0,4137314,24.78,0.98,1.572,0.0,42.466,49.808,1.729,0.0,95.575,0.1,0.0,0.57,0.41,0.42,0.26
"Kyrgyzstan",29601148928.0,6304025,4.72,1.95,0.753,4.041,0.641,6.262,0.0,0.0010000000000012221,11.698,0.05,0.03,0.01,0.05,0.0,0.03
"Latvia",46862479360.0,1928461,2.0,1.86,0.551,0.197,2.704,4.363,0.0,0.043999999999999595,7.859,0.04,0.0,0.04,0.04,0.0,0.02
"Libya",100416020480.0,6678565,58.8,1.81,2.402,0.0,17.535,25.903,7.522,0.0,53.362,0.15,0.0,0.24,0.21,1.82,0.15
"Lithuania",76617523200.0,2801270,3.12,3.57,0.511,0.859,3.949,8.084,0.254,0.03900000000000148,13.696,0.03,0.01,0.05,0.07,0.06,0.04
"Luxembourg",35015057408.0,604244,0.56,0.37,0.369,0.269,1.609,7.244,0.0,0.07699999999999996,9.568,0.02,0.0,0.02,0.06,0.0,0.03
"Malaysia",773658509312.0,31528034,37.94,12.38,12.016,84.147,84.261,82.891,8.915,0.0,272.229,0.77,0.57,1.13,0.68,2.16,0.74
"Mexico",2006599729152.0,126190784,138.13,43.61,20.864,45.995,149.181,239.268,0.0,0.0,455.308,1.33,0.31,2.0,1.96,0.0,1.24
"Moldova",23299414016.0,4051950,3.45,1.18,0.578,0.308,1.877,2.669,0.0,0.0009999999999994458,5.433,0.04,0.0,0.03,0.02,0.0,0.01
"Morocco",299980095488.0,36029088,11.97,9.37,5.577,18.72,2.114,35.884,0.0,7.105427357601002e-15,62.295,0.36,0.13,0.03,0.29,0.0,0.17
"Myanmar",317599023104.0,53708316,76.43,26.33,1.588,2.473,9.429,19.191,0.0,0.0,32.68,0.1,0.02,0.13,0.16,0.0,0.09
"Netherlands",818056003584.0,17059560,15.53,7.96,0.22,32.987,69.85,53.551,1.104,1.3079999999999927,159.02,0.01,0.22,0.94,0.44,0.27,0.43
"New Zealand",171013586944.0,4743131,32.71,15.19,0.418,5.196,7.879,20.526,1.072,0.6980000000000004,35.789,0.03,0.04,0.11,0.17,0.26,0.1
"Nigeria",1060805935104.0,195874688,134.28,40.09,8.137,0.125,36.208,68.11,15.348,0.0,127.928,0.52,0.0,0.49,0.56,3.72,0.35
"North Macedonia",27703576576.0,2082957,2.44,0.56,0.359,3.404,0.429,2.832,0.0,8.881784197001252e-16,7.024,0.02,0.02,0.01,0.02,0.0,0.02
"Norway",449338998784.0,5337960,4.61,3.36,0.73,4.066,13.799,23.285,2.219,0.36999999999999744,44.469,0.05,0.03,0.19,0.19,0.54,0.12
"Oman",172358221824.0,4829476,20.19,1.05,2.096,0.0,51.296,4.166,3.059,0.0,60.617,0.13,0.0,0.69,0.03,0.74,0.17
"Pakistan",1212090548224.0,212228288,157.68,65.74,15.608,46.881,75.783,100.035,0.0,0.0,238.306,1.0,0.32,1.02,0.82,0.0,0.65
"Peru",386316107776.0,31989266,32.32,9.87,4.32,2.503,14.949,32.676,0.202,0.0,54.649,0.28,0.02,0.2,0.27,0.05,0.15
"Philippines",912443441152.0,106651392,65.8,13.79,9.952,64.902,8.405,57.399,0.0,0.0,140.658,0.64,0.44,0.11,0.47,0.0,0.38
"Poland",1053479337984.0,37921584,29.4,21.4,7.655,198.804,34.283,86.564,4.849,4.837000000000046,336.992,0.49,1.35,0.46,0.71,1.18,0.92
"Portugal",276343586816.0,10256192,11.35,2.97,2.251,10.389,11.327,25.536,1.048,0.9410000000000025,51.492,0.14,0.07,0.15,0.21,0.25,0.14
"Qatar",400649388032.0,2781682,21.48,0.62,2.305,0.0,87.962,15.506,1.154,0.0,106.927,0.15,0.0,1.18,0.13,0.28,0.29
"Romania",386236481536.0,19506110,16.94,8.95,3.505,20.056,23.466,28.716,0.552,1.313999999999993,77.609,0.22,0.14,0.31,0.24,0.13,0.21
"Russia",3613410459648.0,145734032,673.31,64.67,20.091,394.979,828.223,393.248,37.506,17.59999999999991,1691.647,1.28,2.68,11.11,3.23,9.1,4.62
"Saudi Arabia",1677338607616.0,33702756,112.3,8.07,25.135,0.0,257.222,339.501,0.095,0.0,621.953,1.6,0.0,3.45,2.79,0.02,1.7
"Slovakia",146456461312.0,5453017,4.26,2.02,1.347,14.206,9.359,10.152,0.02,0.945999999999998,36.03,0.09,0.1,0.13,0.08,0.0,0.1
"Slovenia",60439879680.0,2077836,1.74,0.81,0.45,4.792,1.695,7.319,0.131,0.1070000000000011,14.494,0.03,0.03,0.02,0.06,0.03,0.04
"South Africa",673272168448.0,57792520,80.08,19.51,6.009,399.306,9.12,49.758,0.0,0.0,464.193,0.38,2.71,0.12,0.41,0.0,1.27
